x, y
0.000100, 8.006207114844404e-7
0.00021752053077708062, 7.892167014368923e-7
0.0004964016383264728, 8.121895070020964e-7
0.001995261730778435, 8.121895070020964e-7
0.006309571597429541, 8.18036330150751e-7
0.015106602223566117, 8.479083580316478e-7
0.033496563530616655, 9.175226257441139e-7
0.058997462559235596, 0.0000010666880181048195
0.10901838539976183, 0.0000014730732301521697
0.163117386440655, 0.0000019071015805625897
0.3043221669149856, 0.0000019071015805625897
0.5411698434433472, 0.0000019626141840384056
0.8019855429426871, 0.0000020342824748760933
0.98, 0.000002139036206673238
