x, y
0.0001, 0.000001114879053071902
0.000274773112832467, 0.000001114879053071902
0.001021481236748476, 0.0000011096207145264705
0.0035210041866338224, 0.000001114879053071902
0.009674772806575251, 0.0000011361652353337693
0.023290529491268263, 0.0000012196699367821536
0.052978823988584056, 0.000001372704393349283
0.10360593046256342, 0.0000014459860581649927
0.18089878378724844, 0.0000017972979840216394
0.3128848177444478, 0.0000025501800487711792
0.5260481720538728, 0.000003996158641415125
0.7675878290976227, 0.000005643389712101476
0.9629181393775929, 0.000007047730720079499
