x, y
0.01, 0.000022103512302759437
0.014266414722464397, 0.000021796735980936496
0.02341762113434519, 0.000021796735980936496
0.05535378620889114, 0.00002194959112026015
0.21277404885153745, 0.000022103512302759437
0.6294842893969027, 0.000022414606322044627
1.8449728161606025, 0.00002337440031279946
3.5502090851010726, 0.000026139598418997394
5.666300678102609, 0.00002923192023593012
9.043682387442267, 0.000036557308390575706
12.545191100341329, 0.00004445815421338773
19.651723430487046, 0.000060462635997724515
30.49748899890142, 0.00006667695264416109
45.16711330087623, 0.00007667852350218644
70.094695791043, 0.0000965662781277697
