x, y
0.00010187998098013488, 3.5411304267878405e-7
0.00028115010684940175, 3.566663350871421e-7
0.0009522842483862742, 3.5411304267878405e-7
0.0037787705895188824, 3.5411304267878405e-7
0.012562903366846716, 3.6971131588591223e-7
0.020967030737287087, 4.001140767134895e-7
0.03949683803805966, 4.82288900375953e-7
0.09047355006444575, 7.108763328911887e-7
0.1736344454142474, 9.751683464311725e-7
0.34267603100550936, 0.000001479267828882159
0.6219146650116477, 0.0000025354565635248748
0.9907298856862695, 0.000003901787964382979
